illness,symptoms
Flu,fever;cough;fatigue;headache;chills;muscle aches;sore throat;runny nose
Common Cold,sneezing;cough;runny nose;sore throat;congestion;mild headache;fatigue
Migraine,headache;nausea;sensitivity to light;sensitivity to sound;visual aura
COVID-19,fever;cough;fatigue;loss of taste;loss of smell;shortness of breath;sore throat;headache;muscle aches
Stomach Flu,nausea;vomiting;diarrhea;abdominal cramps;fever;fatigue
Chickenpox,fever;itchy rash;fatigue;loss of appetite;headache
Allergic Rhinitis,sneezing;runny nose;itchy eyes;nasal congestion;watery eyes;postnasal drip
Bronchitis,cough;fatigue;shortness of breath;chest discomfort;sore throat;mild fever
Pneumonia,fever;chills;cough;shortness of breath;chest pain;fatigue;muscle aches
Sinusitis,facial pain;nasal congestion;headache;postnasal drip;fever;fatigue
Gastroenteritis,nausea;vomiting;diarrhea;abdominal cramps;fever;fatigue
Mononucleosis,fatigue;fever;sore throat;swollen lymph nodes;headache;rash
Urinary Tract Infection,painful urination;frequent urination;lower abdominal pain;fever;cloudy urine
Malaria,fever;chills;sweats;headache;nausea;vomiting;muscle pain
Dengue Fever,fever;headache;muscle pain;joint pain;rash;nausea;vomiting
Tuberculosis,cough;weight loss;fever;night sweats;fatigue;chest pain
illness,symptoms
"fungal infection","itching;skin_rash;nodal_skin_eruptions;dischromic _patches;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"allergy","continuous_sneezing;shivering;chills;watering_from_eyes;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"gerd","stomach_pain;acidity;ulcers_on_tongue;vomiting;cough;chest_pain;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;blood_in_sputum;muscle_pain"
"chronic cholestasis","itching;vomiting;yellowish_skin;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"drug reaction","itching;skin_rash;stomach_pain;burning_micturition;spotting_ urination;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"peptic ulcer diseae","vomiting;loss_of_appetite;abdominal_pain;passage_of_gases;internal_itching;nausea;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"aids","muscle_wasting;patches_in_throat;high_fever;extra_marital_contacts;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"diabetes","fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
